Dataset,Column,Dtype,Null Count,Null (%),Unique Values
captains,captain_id,str,0,0.0,25000
captains,signup_ts,str,0,0.0,23245
captains,city,str,0,0.0,4
captains,vehicle_type,str,0,0.0,3
captains,acquisition_channel,str,0,0.0,5
captains,signup_zone_id,str,0,0.0,96
captains,device_tier,str,0,0.0,3
captains,app_language,str,0,0.0,5
captains,age_band,str,0,0.0,4
doc_events,event_id,str,0,0.0,186282
doc_events,captain_id,str,0,0.0,23303
doc_events,doc_type,str,0,0.0,6
doc_events,attempt_no,int64,0,0.0,3
doc_events,event_type,str,0,0.0,3
doc_events,event_ts,str,0,0.0,186282
doc_events,failure_reason,str,166510,89.39,7
approvals,captain_id,str,0,0.0,25000
approvals,decision_ts,str,20359,81.44,4641
approvals,final_status,str,0,0.0,4
approvals,last_stage_reached,str,4393,17.57,10
approvals,docs_cleared,int64,0,0.0,7
activation,captain_id,str,0,0.0,4206
activation,first_order_ts,str,102,2.43,4104
activation,orders_d7,float64,187,4.45,33
activation,orders_d30,float64,834,19.83,109
activation,online_hours_d30,float64,834,19.83,555
nudges,captain_id,str,0,0.0,13667
nudges,campaign_id,str,0,0.0,4
nudges,channel,str,0,0.0,3
nudges,sent_ts,str,0,0.0,16314
nudges,delivered,int64,0,0.0,2
nudges,clicked,int64,0,0.0,2
airport_hourly,zone_id,str,0,0.0,7
airport_hourly,zone_type,str,0,0.0,4
airport_hourly,hour_ts,str,0,0.0,1464
airport_hourly,requests,int64,0,0.0,125
airport_hourly,fulfilled_requests,int64,0,0.0,107
airport_hourly,unfulfilled_requests,int64,0,0.0,99
airport_hourly,online_captains,int64,0,0.0,97
airport_hourly,avg_eta_min,float64,0,0.0,886
airport_hourly,avg_surge_multiplier,float64,0,0.0,137
airport_trips,trip_id,str,0,0.0,60000
airport_trips,pickup_zone_id,str,0,0.0,2
airport_trips,drop_zone_id,str,0,0.0,5
airport_trips,drop_zone_type,str,0,0.0,3
airport_trips,request_ts,str,0,0.0,1464
airport_trips,trip_distance_km,float64,0,0.0,4249
airport_trips,captain_cancelled,int64,0,0.0,2
airport_trips,got_return_fare_within_20min,int64,0,0.0,2
airport_trips,fare_inr,float64,0,0.0,726
